	id	price	surface	country	index
74	01G6N8X8TB9R3T0A1P2Z09FFX2	850.0	70.0	Belgium	12.142857142857142
75	01G6N8WFDK51TK3GPYAB6R4DB0	312.0	26.0	France	12.0
76	01G6N8X4K9DA769YJ855BAVNER	212.5	50.0	Hungary	4.25
77	01G6N8WVPN9FWXATTKNKR3PZNY	819.0	74.0	Denmark	11.067567567567568
79	01G6N8WBZBWPXJWJ70KPNXBBDH	3000.0	80.0	Italy	37.5
82	01G6N8WW1DGR59SH5MCHQ11FZN	357.0	40.0	Poland	8.925
83	01G6N8WFCW2HGYDB2KC46CNABP	581.0	62.0	France	9.370967741935484
84	01G6N8XE3WBVTKHJESQD6D6Y36	700.0	34.0	Estonia	20.58823529411765
86	01G6N8X67CSFGG5Q27CJQFSMQD	500.0	55.0	Hungary	9.090909090909092
87	01G6N8X7VHKQDKBMCJDYPSD96F	850.0	91.0	Belgium	9.340659340659341
88	01G6N8XCM1ZPTM360BCWAHYAJT	86.0	55.0	Romania	1.5636363636363637
89	01G6N8WM19W0NG7C39NG5RGAS9	780.0	51.0	Austria	15.294117647058824
90	01G6N8WBN1DVQ9CNB4M9D2QCCZ	1800.0	171.0	Italy	10.526315789473685
91	01G6N8WXSC83X6A092KB63QM3E	700.0	50.0	Greece	14.0
92	01G6N8XDC9DP911388MF9VG21V	300.0	140.0	Romania	2.142857142857143
93	01G6N8WVJRPX2H05XA5G98N55W	552.5	91.0	Denmark	6.071428571428571
94	01G6N8WK7A2N0ABC7XPEMC8MEA	725.0	41.0	Austria	17.682926829268293
95	01G6N8WK6E8R35N1HA5SNRZMXR	775.0	42.0	Austria	18.452380952380953
97	01G6N8WTRJKHKH0643A0G6W3XJ	0.325	17.0	Denmark	0.01911764705882353
98	01G6N8WHKXZSRKWQJP7G7BYMJC	810.0	60.0	Austria	13.5
99	01G6N8WZVT5EC1WEDCH7ZG3V86	648.63	50.0	Sweden	12.9726
100	01G6N8WQJJ1R0FQA6SXRQ58FW7	1000.0	3.0	Portugal	333.3333333333333
101	01G6N8WGBP1J8PZWX5B3860X1X	459.0	44.0	France	10.431818181818182
102	01G6N8XD2MHHBJQASP9TBZ6JA0	340.0	97.0	Romania	3.5051546391752577
103	01G6N8X1AY2RQEPDFWE94AK27S	699.0	44.0	Finland	15.886363636363637
104	01G6N8WB25SAM0DC7H4W73B476	650.0	60.0	Italy	10.833333333333334
105	01G6N8X4QECH7F1YTRQJFQE4JY	750.0	120.0	Hungary	6.25
106	01G6N8WGCJD8VPBM804V30AKP0	176.0	18.0	France	9.777777777777779
107	01G6N8WFGPHRMSFJ35VQSYT1Z8	940.0	85.0	France	11.058823529411764
109	01G6N8WG13JY5M79A5TQP9V970	580.0	52.0	France	11.153846153846153
111	01G6N8X03W159D0WFKXPZE06Q0	1104.12	82.0	Sweden	13.464878048780486
114	01G6N8WBTQF2JMBKMDZ0FZ6HR4	880.0	19.0	Italy	46.31578947368421
115	01G6N8WG7Y1VC6882S1QX00D2G	515.0	37.0	France	13.91891891891892
116	01G6N8WYM0E26M88DMGJC05RVA	1035.0	35.0	Sweden	29.571428571428573
118	01G6N8XE5R1SERMX3RYN2Y83CG	1200.0	125.0	Estonia	9.6
119	01G6N8WGVRNZCBMW4DK4EH8WPA	647.84	41.0	Austria	15.8009756097561
120	01G6N8XBG0WE3N3T55CPPVWZYG	170.0	61.0	Romania	2.7868852459016393
121	01G6N8WKPWNGM1YG04MQEEC5JV	1132.0	75.0	Austria	15.093333333333334
122	01G6N8WWDHVRZ9T49D305WTABB	735.0	172.0	Poland	4.273255813953488
123	01G6N8X5XZ94N41FX36S54NA5D	250.0	35.0	Hungary	7.142857142857143
124	01G6N8X0T9AWTRYXPTZ95JB260	743.5	50.0	Finland	14.87
127	01G6N8WKP6QG2J6AWG0WH6CNEE	901.0	73.0	Austria	12.342465753424657
128	01G6N8WTTAZ3TR0FGN30VY2FKG	1124.5	105.0	Denmark	10.709523809523809
129	01G6N8WSYEZVBVMVW720MQ4BQ4	1117.3500000000001	67.0	Denmark	16.676865671641792
130	01G6N8X2D3MQM7RV9A3XVS6A5M	699.0	46.0	Finland	15.195652173913043
131	01G6N8XDG7TAFB3AFWHVSCA5ZY	180.0	75.0	Romania	2.4
132	01G6N8WW6S8QTMACN0G1MAFCQ6	651.0	55.0	Poland	11.836363636363636
133	01G6N8X5F42SHK877C04FFNTGH	750.0	80.0	Hungary	9.375
134	01G6N8WMBHWKAK9BRYR549BYN2	927.65	50.0	Austria	18.553
135	01G6N8XCMGQ8HX5R8J9RTK98J7	50.0	22.0	Romania	2.272727272727273
136	01G6N8X4QHGQZ98HD623VCR7C6	550.0	57.0	Hungary	9.649122807017545
138	01G6N8X244Y06R18EYJ6EHF1RS	926.0	32.0	Finland	28.9375
141	01G6N8XC7W0NBQ8RHDCSTB4JCH	90.0	50.0	Romania	1.8
142	01G6N8WBAVVKWWWPQ800C8NX1P	650.0	40.0	Italy	16.25
143	01G6N8WECRM36FB991QX7TRZ8R	1200.0	84.0	Spain	14.285714285714286
145	01G6N8WWJ995AJX8CMAEZH7ZTM	336.0	39.0	Poland	8.615384615384615
146	01G6N8WJRZKC6T76PQC6ZT52AY	695.0	43.0	Austria	16.162790697674417
149	01G6N8X2E3F7VX2GCNJM9P8W01	410.0	54.0	Finland	7.592592592592593
150	01G6N8WKXV7XFXM57A30N6RHN9	900.0	80.0	Austria	11.25
151	01G6N8X2HCQZVMMJNRXQ28THQZ	400.0	51.0	Republic	7.8431372549019605
152	01G6N8WFQZC20FN0P076DGASQY	720.0	30.0	France	24.0
153	01G6N8WE15TG1S31XS55S8EY91	750.0	60.0	Spain	12.5
154	01G6N8WW0HQFTE8NVK1G77KBCP	241.5	20.0	Poland	12.075
155	01G6N8WWD6P9T58HZS8BZJJMVE	735.0	56.0	Poland	13.125
156	01G6N8WCSANY7R3Y1XH862J04V	350.0	35.0	Italy	10.0
158	01G6N8WTV2G961R9T2KX5N6VBQ	585.0	64.0	Denmark	9.140625
159	01G6N8WVSYETDN52FEQPW88NQP	3250.0	97.0	Denmark	33.50515463917526
